model,BERTScore/trimmed,Bleu_4/trimmed,METEOR/trimmed,MoverScore/trimmed,ROUGE_L/trimmed,compression_rate_full,compression_rate_embedding
model_qg/mt5-small-jaquad-qg-trimmed,-1.4832981463249126,28.265192248335442,-8.527236324821235,0.029322726444831915,47.011715158729444,0.3252524580572723,0.20916349794682948
model_qg/mt5-small-koquad-qg-trimmed,-4.277054473118511,-0.23011826238212407,-9.27169515760404,-1.992999174526588,-21.038229464458286,0.2467856666167742,0.11719665255236884
model_qg/mt5-small-ruquad-qg-trimmed,-5.782921871640994,-2.210972983908132,-16.752890055395603,-5.405165112841949,-19.660471074183924,0.32284397343673443,0.20634063838209363
model_qg/mt5-small-frquad-qg-trimmed,-7.804423705876459,-5.305576191347878,-16.81422903307076,-5.936708900217212,-14.059330460483729,0.6230107507623528,0.5581505071950932
model_qg/mt5-small-dequad-qg-trimmed,5.620609542420567,0.34761112919671966,-7.52326001956828,2.187678082693097,-6.063384601199722,0.6230107507623528,0.5581505071950932
model_qg/mt5-small-esquad-qg-trimmed,-5.298313912997173,-3.1167518463722708,-14.874210439716034,-4.469114822631802,-18.124886011372972,0.6230107507623528,0.5581505071950932
model_qg/mt5-small-itquad-qg-trimmed,-5.821195428303909,-8.061161516939038,-16.74120904837485,-3.8914334598257554,-18.154325658192295,0.6230107507623528,0.5581505071950932
model_qg/mt5-base-jaquad-qg-trimmed,-1.4268713305143024,30.40552972520517,-8.965501198605928,0.25669301212549556,48.58746936712065,0.4783446940775115,0.20916349794682948
model_qg/mt5-base-koquad-qg-trimmed,-4.019340753530869,0.08441069298390325,-9.210754715402334,-1.820531763375726,-20.18095261675882,0.41768108947097043,0.11719665255236884
model_qg/mt5-base-ruquad-qg-trimmed,-5.097659704150814,-1.573396397963144,-17.142827668591135,-5.0451847434621016,-19.07158201863745,0.4764826661286303,0.20634063838209363
model_qg/mt5-base-frquad-qg-trimmed,-8.559945619395648,-6.347818454412882,-16.76842676702873,-5.622253452548684,-14.533931045276216,0.7085451521996854,0.5581505071950932
model_qg/mt5-base-dequad-qg-trimmed,5.790889939221955,0.7690182013069722,-6.429603437195942,2.7907944181435056,-4.835155966680647,0.7085451521996854,0.5581505071950932
model_qg/mt5-base-esquad-qg-trimmed,-5.1651997909220455,-3.0359840618151672,-14.881872347260959,-4.380525674307449,-17.90284087141094,0.7085451521996854,0.5581505071950932
model_qg/mt5-base-itquad-qg-trimmed,-5.658550827840358,-7.963534856706234,-16.55312505990197,-3.723154876719711,-17.841902261782927,0.7085451521996854,0.5581505071950932
